
 num     #instances         #bytes  class name
----------------------------------------------
   1:         12155       67855544  [I
   2:         62712       61777416  [B
   3:        365388       44893584  [C
   4:        584728       23389120  java.util.TreeMap$Entry
   5:        276515       11060600  java.util.HashMap$ValueIterator
   6:        106157        9341816  java.lang.reflect.Method
   7:        323753        7770072  java.lang.String
   8:         71355        6850080  java.util.jar.JarFile$JarFileEntry
   9:        276604        6638496  org.apache.catalina.LifecycleEvent
  10:        276148        5573520  [Lorg.apache.catalina.Container;
  11:        172336        5514752  java.util.HashMap$Node
  12:        126574        5062960  java.util.HashMap$KeyIterator
  13:        125367        3008808  java.util.Collections$UnmodifiableCollection$1
  14:         21830        2964288  [Ljava.util.HashMap$Node;
  15:         56220        2812912  [Ljava.lang.Object;
  16:         43914        2459184  java.util.concurrent.ConcurrentHashMap$ValueIterator
  17:         52929        2117160  java.util.LinkedHashMap$Entry
  18:         59991        1919712  java.util.concurrent.ConcurrentHashMap$Node
  19:         37699        1809552  java.util.TreeMap
  20:         33754        1620192  java.util.HashMap
  21:         13120        1385800  java.lang.Class
  22:         23207        1299592  java.util.LinkedHashMap
  23:         52378        1257072  java.util.ArrayList
  24:         19202        1228928  java.net.URL
  25:         37644        1204608  java.util.TreeMap$KeyIterator
  26:         54639        1199504  [Ljava.lang.Class;
  27:         38726        1162528  [Ljava.lang.String;
  28:         31672        1013504  java.lang.ref.WeakReference
  29:         20138         805520  java.lang.ref.Finalizer
  30:         10699         770328  java.lang.reflect.Field
  31:         14663         703824  org.aspectj.weaver.reflect.ShadowMatchImpl
  32:          1795         686896  [Ljava.util.concurrent.ConcurrentHashMap$Node;
  33:         37645         602320  java.util.TreeMap$KeySet
  34:         37644         602304  org.apache.catalina.webresources.Cache$EvictionOrder
  35:         12536         601728  org.apache.catalina.loader.ResourceEntry
  36:         34529         552464  java.lang.Integer
  37:         20525         492600  sun.reflect.generics.tree.SimpleClassTypeSignature
  38:          9922         476256  java.util.zip.Inflater
  39:         14663         469216  org.aspectj.weaver.patterns.ExposedState
  40:          5595         450600  [Ljava.lang.reflect.Method;
  41:         25913         414608  java.util.Collections$UnmodifiableSet
  42:         20525         383552  [Lsun.reflect.generics.tree.TypeArgument;
  43:         15725         377400  java.lang.StringBuilder
  44:          8792         351680  java.util.WeakHashMap$Entry
  45:          8717         348680  java.lang.ref.SoftReference
  46:         10342         330944  java.util.Collections$UnmodifiableMap
  47:         19931         318896  sun.reflect.generics.tree.ClassTypeSignature
  48:         12851         308424  org.apache.tomcat.util.bcel.classfile.ConstantUtf8
  49:          8772         280704  java.util.LinkedList
  50:         11504         276096  java.beans.MethodRef
  51:         11526         271968  [Ljava.lang.reflect.Type;
  52:          3300         264000  java.lang.reflect.Constructor
  53:          1471         252464  [Ljava.util.WeakHashMap$Entry;
  54:          9922         238128  java.util.zip.ZStreamRef
  55:          4898         235104  org.aspectj.weaver.reflect.ShadowMatchImpl
  56:          4168         233408  java.util.zip.ZipFile$ZipFileInputStream
  57:          4126         231056  java.util.zip.ZipFile$ZipFileInflaterInputStream
  58:         14399         230384  java.util.HashMap$KeySet
  59:          9283         222792  java.util.Collections$UnmodifiableRandomAccessList
  60:          6885         220320  java.util.ArrayList$Itr
  61:          6873         219936  java.util.Hashtable$Entry
  62:         13733         219728  java.util.HashSet
  63:          3828         214368  java.beans.MethodDescriptor
  64:          4911         196440  sun.reflect.generics.repository.MethodRepository
  65:          7603         194880  [Z
  66:          5808         185856  java.io.File
  67:          7292         175008  java.util.LinkedList$Node
  68:         10276         164416  java.util.LinkedHashSet
  69:         10068         161088  java.lang.Object
  70:          2477         158528  java.util.concurrent.ConcurrentHashMap
  71:          4916         157312  sun.reflect.generics.tree.MethodTypeSignature
  72:          4898         156736  org.aspectj.weaver.patterns.ExposedState
  73:          6237         149688  org.springframework.transaction.interceptor.AbstractFallbackTransactionAttributeSource$DefaultCacheKey
  74:          2716         138440  [[Ljava.lang.String;
  75:          7254         134760  [Lsun.reflect.generics.tree.FieldTypeSignature;
  76:          2355         131880  java.lang.Class$ReflectionData
